tour,event_name,course_name,event_id,date_start,date_end,last_updated,current_round,tz_offset,dg_id,player_num,player_name,am,pre_tourn_pageviews,country,dg_rank,owgr_rank,tour_rank,r1_course_code,r1_course_name,r1_course_num,r1_round_num,r1_start_hole,r1_teetime,r1_wave,r2_course_code,r2_course_name,r2_course_num,r2_round_num,r2_start_hole,r2_teetime,r2_wave,r3_course_code,r3_course_name,r3_course_num,r3_round_num,r3_start_hole,r3_teetime,r3_wave,r4_course_code,r4_course_name,r4_course_num,r4_round_num,r4_start_hole,r4_teetime,r4_wave
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,9171,27770,"Villegas, Camilo",0,0,COL,369.0,444.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,25003,54607,"Walker, Danny",0,0,USA,342.0,217.0,119,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,20706,48887,"Wallace, Matt",0,0,ENG,110.0,90.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,12426,31113,"Waring, Paul",0,0,ENG,411.0,261.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,25908,51894,"Whaley, Vince",0,0,USA,101.0,115.0,T125,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,12920,32139,"Willett, Danny",0,0,ENG,,371.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,22051,49964,"Wise, Aaron",0,0,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,12577,31323,"Woodland, Gary",0,0,USA,143.0,142.0,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,25002,54783,"Wu, Dylan",0,0,USA,150.0,350.0,109,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,29925,60386,"Yellamaraju, Sudarshan",0,0,CAN,232.0,226.0,78,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,17881,45242,"Yu, Kevin",0,0,TPE,111.0,104.0,147,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pga,Cognizant Classic,PGA National Resort (The Champion Course),10,2026-02-26,2026-03-01,2026-02-23 00:54:40 UTC,1,-18000,19428,47483,"Zalatoris, Will",0,0,USA,87.0,240.0,98,,,,,,,,,,,,,,,,,,,,,,,,,,,,
